iter	Logloss
0	0.5673574541
1	0.4812111463
2	0.4097430181
3	0.340747626
4	0.2824235335
5	0.2483070452
6	0.2205114443
7	0.1944047264
8	0.1742583554
9	0.1583871495
10	0.1454488447
11	0.138671058
12	0.1335951616
13	0.1260729303
14	0.1206685701
15	0.111236154
16	0.1064931724
17	0.1017304984
18	0.09853735261
19	0.09425074368
20	0.09056116088
21	0.08563914868
22	0.08334249607
23	0.0809696592
24	0.07814544674
25	0.07621106187
26	0.07493158114
27	0.07285854478
28	0.07125088732
29	0.06910959597
30	0.0682119684
31	0.06521786535
32	0.06399960457
33	0.06207359556
34	0.06010120156
35	0.05856038189
36	0.05720809367
37	0.05649285502
38	0.05539523065
39	0.05395853239
40	0.05241250776
41	0.05112915041
42	0.05018165898
43	0.04982687059
44	0.04879371337
45	0.04776957368
46	0.04611842743
47	0.04494282074
48	0.04453130429
49	0.04296254624
50	0.04204273585
51	0.041543594
52	0.04109675222
53	0.03964519981
54	0.03880850329
55	0.03786696192
56	0.03645177991
57	0.03615327128
58	0.03601701647
59	0.0353843486
60	0.0350307877
61	0.03420670985
62	0.03317385536
63	0.03210042804
64	0.03185625549
65	0.03070338233
66	0.02981113241
67	0.02977151099
68	0.02887853655
69	0.02821799907
70	0.02762518683
71	0.02726984973
72	0.02611818681
73	0.02577588286
74	0.02508223921
75	0.02463975075
76	0.02459389367
77	0.02429458019
78	0.02376234537
79	0.02356378897
80	0.02352961104
81	0.02348846819
82	0.02344711492
83	0.0234100921
84	0.0233820935
85	0.0228044035
86	0.02276945501
87	0.02273255916
88	0.02239813525
89	0.02183438202
90	0.02179645769
91	0.02176182314
92	0.02172773995
93	0.02149876591
94	0.02120702126
95	0.02020151272
96	0.0201685665
97	0.02013767606
98	0.02010875482
99	0.02008088056
